They do to!	They do not!
This is certainly... ah...	I only found out you were here yesterday.
How are you doing?	How do you think I'm doing?
How do you think I'm doing?	I don't know what happened.
You and every person in this country.	Oh God yes -- I'm sorry.
You have a stunt bottom?	I could have a stunt bottom, yes.
You've got big feet.	Yes.  Always have had.
Yes.  Always have had.	You know what they say about men with big feet?
You know what they say about men with big feet?	No.  What's that?
No.  What's that?	Big feet -- large shoes.
With a goat playing a violin.	Yes -- happiness wouldn't be happiness without a violin-playing goat.
'Very well, captain -- I'll pass that on straightaway.'	'Thank you.'  How many mistake did I make?
'Certainly.  And little Johnny?'	My son's name is Johnny?
Well, get a message through to him too.	Brilliant.  Word perfect I'd say.
Brilliant.  Word perfect I'd say.	What do you think?
Yes -- start in L.A. on Tuesday.	Would you like me to take you through your lines?
Would you like me to take you through your lines?	Would you?  It's all talk, talk, talk.
Would you?  It's all talk, talk, talk.	Hand it over.  Basic plot?
Well, there's a question -- without an interesting answer.	I have thought about you.
I have thought about you.	Oh no no -- no.
I'm sorry... I don't know what to say.	I think goodbye is traditional.
Here we are.  Do you want to come up?	There seem to be lots of reasons why I shouldn't.
I don't know, I'm afraid.	I don't know either.
So who left who?	She left me.
She saw through me.	Uh-oh.  That's not good.
Yes, you did.	No, I didn't.
No, I didn't.	You said 'whoopsidaisies.'
It's the hair!  It's to do with the hair.	Why is she in a wheelchair?
Why is she in a wheelchair?	It was an accident -- about eighteen months ago.
Okay -- fine.	But no, I'm sure I can get out of it.
You'll be my date at my little sister's birthday party?	If that's all right.
Oh -- Okay.	Perhaps I could drop round for tea or something?
Here we go.	Thanks.  Well...
Oh hi.  Forget something?	I forgot my bag.
Liar.  She hates surprises.  What are you ordering?	I haven't decided.
Nice one.  Would you like my phone number?	Tempting but... no, thank you.
Can I have your autograph?	What's your name?
I can't say I know Patrick all that well.	Oh dear.  He wasn't friendly during the filming?
Where are you going?	Down Kensington Church Street, then Knightsbridge, then Hyde Park Corner.
Down Kensington Church Street, then Knightsbridge, then Hyde Park Corner.	Crazy.  Go along Bayswater...
He's bringing a girl?	Miracles do happen.
Miracles do happen.	Does the girl have a name?
Does the girl have a name?	He wouldn't say.
He wouldn't say.	Christ, what is going on in there?
This painting isn't the original, is it?	Yes, I think that one may be.
Good decision.  All actresses are mad as snakes.	Tony -- what do you think?
Still loves you though.	In a depressingly asexual way.
In a depressingly asexual way.	I never fancied you much actually...
He's cooking guinea fowl?	Don't even ask.
Bloody hell, this is fun.	Is Miss Scott staying here?
But she said she wanted to go out with you?	Yes -- sort of...
Bernie -- this is Anna.	Hello, Anna.  Delighted to meet you.
Is this your first film?	No -- it's my 22nd.
No -- it's my 22nd.	Of course it is.  Any favourite among the 22?
Of course it is.  Any favourite among the 22?	Working with Leonardo.
I was called and I came.  What's up?	William has just turned down Anna Scott.
William has just turned down Anna Scott.	You daft prick!
Yes.  What do you think?	Well, yes.  Groovy.
Ah -- no.  It's fine.	What's your name?
I'll see what I can do.	Still, not sparkling.
Still, not sparkling.	Absolutely.  Ice cold still water.
Are you a fan of Henry James?	This is Henry James film?
Pleased to meet you.  Did you like the film?	Ah... yes, enormously.
Ah... yes, enormously.	Well, fire away.
Excuse me -- it's your mother on the phone.	Can you tell her I'll ring her back.
Martin, can't you just deal with this yourself?	But it's not for the shop.  It's for you.
Martin -- your customer.	Can I help you?
That's right -- Topol.	But Ringo Starr doesn't look anything like Topol.
But Ringo Starr doesn't look anything like Topol.	No, well... he was quite a long way away.
No, well... he was quite a long way away.	So it could have been neither of them?
So it could have been neither of them?	I suppose so.
I suppose so.	Right.  It's not a classic anecdotes, is it?
Right.  It's not a classic anecdotes, is it?	Not classic, no.
Absolutely.  Never trust a vegetarian.	Great.  Excellent.  Thanks.
Oh God no.	So not over her, in fact.
So -- you've laid the ghost.	I believe I have.
I believe I have.	Don't give a damn about the famous girl.
Don't give a damn about the famous girl.	No, don't think I do.
You didn't know she had a boyfriend?	No -- did you?
So I get the brownie?	I think you do, yes.
'No comment' means 'yes.'	No, it doesn't.
No, it doesn't.	Do you ever masturbate?
Do you ever masturbate?	Definitely no comment.
Definitely no comment.	You see -- it means 'yes.'
Max.  This is Anna.	Hello, Anna ahm...  Scott -- have some wine.
Can I help you?	Yes -- I was looking for Anna Scott...
Yes -- I was looking for Anna Scott...	Does she know you're coming?
Does she know you're coming?	No, no.  She doesn't.
No, no.  She doesn't.	I'm afraid I can't really let you through then, sir.
What's going on?	I'm going to throw out these old videos.
I went out in my goddamn underwear too.	Get out, Spike.  I'm so sorry.
No -- you're right.	I'll talk to you in the morning.
I'll talk to you in the morning.	Okay -- okay.  Might be too late, but okay.
Thanks for your help on the glasses thing.	You're welcome.  Did you find them?
Bollocks, bollocks, bollocks.  Have you seen my glasses?	No, 'fraid not.
I think she said her name was 'Flintstone.'	Does 'Flintstone' mean anything to you?
Groovy.  You should do more of this stuff.	So -- any messages?
So -- any messages?	Yeh, I wrote a couple down.
Yeh, I wrote a couple down.	Two?  That's it?
Two?  That's it?	You want me to write down all your messages?
Just incidentally -- why are you wearing that?	Ahm -- combination of factors really. No clean clothes...
There's something wrong with this yogurt.	It's not yogurt -- it's mayonnaise.
Well, yes, that's perfect. Well done.	Thanks.  Great.  Wish me luck.
What are the choices?	Well... wait for it...  First there's this one...
The one down your trousers.	I haven't got a book down my trousers.
Yes, Mister Harding?	Is it true McMurphy killed two attendants and escaped yesterday?
Is it true McMurphy killed two attendants and escaped yesterday?	No. Mister Harding, that is not true.
Yes, Miss Ratched, this is correct.	But you have no proof.
But you have no proof.	No, Miss Ratched...
No, Miss Ratched...	And yet you suspect her.
And yet you suspect her.	Yes, that is correct.
Get up, Billy.	No! No! No!
Sh-sh-sh-she m-m-made m-m-me do it!	Billy, that girl couldn't have pulled you in there forcibly...
Billy, that girl couldn't have pulled you in there forcibly...	Sh-sh-she did! Everybody did!
Sh-sh-she did! Everybody did!	Who? Tell me!
What was it about her that disturbed you so, Billy?	I was in luh-love with her.
I was in luh-love with her.	Billy, were you afraid of her, or of her love?
Gotta go now, ma'am...	Yes. Good luck, Mister McMurphy.
Yes. Good luck, Mister McMurphy.	Thank you, ma'am.
Certainly, Mister McMurphy, with pleasure.	Thank you, ma'am...
Thank you, ma'am.	I hope everything is settled.
Yeah, that's kind of crazy, ain't it!	No, it was irresponsible!
That's it! We made it!	I'm sorry, Mister McMurphy, I count only eight.
I'm sorry, Mister McMurphy, I count only eight.	So do I!
So do I!	But there are eighteen patients on the ward, Mister McMurphy.
Yeah, it'll satisfy me.	Very well. What is it you're proposing, Mister McMurphy?
Very well. What is it you're proposing, Mister McMurphy?	I'm proposing a re-vote on watchin' the ballgame!
I'm proposing a re-vote on watchin' the ballgame!	A vote is before the group.
Well, say. How 'bout springing a pack of cigarettes loose?	After breakfast, Mister McMurphy, after breakfast.
After breakfast, Mister McMurphy, after breakfast.	You sure run a tight-assed ship 'round here, don't ya!
I wanna report a robbery!	On this ward?
On this ward?	Yeah, some creep stole my cigarettes!
Yeah, some creep stole my cigarettes!	Oh, I had them removed.
Sorry to have bothered you.	Not at all, Mister McMurphy...
Pardon me, ma'am, can I ask you somethin'?	Yes, Mister McMurphy?
Yes. Now go along, Mister McMurphy. Go along.	Yes, ma'am.  Lead the way, Sam.
Will you come with me, please.	Hold the fort down, will ya, fellas!
Put him in Doctor Spivey's office!	Yes, Miss Ratched...
Yes, Miss Ratched?	Please see to Mister Bromden.
Please see to Mister Bromden.	Yes, Miss Ratched...
Whatsamatter, kid, what's botherin' you...?	Ah-ah-ah-are y-y-y-you g-g-g-going t-t-t-to muh-muh-muh-marry her?
I-I-I-I-I'll g-g-g-go, M-M-Mack...	Good boy, thank you, Billy.
What is it, kid?	C-C-Come here and l-look at th this!
I-I d-d-don't know! M-M-Miss R Ratched g-g-g-g...	Fuck Miss Ratched!
So long suckers.	Wh-wh-where ya going, M-M-Mac?
W-w-w-what is it, M-M-Mac?	So long, kid.
That's okay, kid...	Th-th-then y-y-you're n-n-not m-m mad?
M-M-Mack, y-y-y-you c-c-can't l-l lift that thing!	Stand aside, son. Any more takers?
Y-Y-You m-mean th-the pr-president of the P-P-Patients C-Council?	Yeah, that'll do for openers!
Say... God Bless America!	God Bless America.
God Bless America.	Goddammit, you sly son-of-a-bitch! Does anybody else know?
Wait a minute...	It's okay, Rose. You can go with him.
Sock it to 'em, kid!	Are they all crazies?
Yeah, where we going?	I dunno. Where do ya wanna go?
There they are!	Hey, what's that?
Where's Martini and Scanlon?	They went that way.
Hey, Cheswick! Wake up!	Yeah, Mack, what is it?
Yeah, Mack, what is it?	I'm leaving. Goodbye!
I'm leaving. Goodbye!	Where ya goin', Mac?
Let's go, for Christsakes...	It's your dirty roll, Cheswick.
I second the motion!	Atta boy, Cheswick!
She won't give me any more cigarettes!	That okay. I'll take your marker. How many ya want?
That okay. I'll take your marker. How many ya want?	Lend me twenty.
It's the questions she asks.	Tell 'er to go straight to hell!
Yeah, my feet are cold...	My feet hurt...
Yeah, Harding, where do you breathe anyway?	Through the ass.
I'm the coach!	I just started!
I just started!	You can come back later!
